Case Number,Date,Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,
2007.05.16,16-May-07,2007,Unprovoked,AUSTRALIA,Western Australia,Wading,F,38,Left heel & calf bitten,N,14h30,2.5 m shark,
2007.05.12,12-May-07,2007,Unprovoked,AUSTRALIA,Victoria,Surfing,M,19,"No injury, shark's fin caught his leg",N,17h45,10' shark,
2007.05.10,10-May-07,2007,Unprovoked,USA,Florida,Surfing,F,21,Knee bitten,N,16h00,4' to 5' shark,
2007.05.09.R,Reported 09-May-2007,2007,Unprovoked,SEYCHELLES,Bird Island,Snorkeling,M,,No injury,N,,"White shark, 2m ",
2007.05.08,8-May-07,2007,Invalid,AUSTRALIA,New South Wales,Swimming,M,45,Shark involvement prior to death unconfirmed,,12h15,Shark involvement prior to death was not confirmed,
2007.05.07.b,7-May-07,2007,Unprovoked,USA,Hawaii,Snorkeling,F,63,Right foot bitten,N,08h30,"Tiger shark, 14' ",
2007.05.07.a,7-May-07,2007,Unprovoked,USA,Florida,Swimming,M,68,Circular bite on left thigh,N,08h30,6' to 8' shark,
2007.05.04,4-May-07,2007,Sea Disaster,TURKS & CAICOS,Providenciales,Sea Disaster,,,Some of the bodies recovered had been bitten by sharks,Y,  ,,
2007.05.00,7-May,2007,Provoked,BAHAMAS,Bimini Islands,Shark tagging,F,20,Lacerations to right upper arm by captive shark PROVOKED INCIDENT,N,,"Lemon shark, >1 m ",
2007.04.26,26-Apr-07,2007,Unprovoked,AUSTRALIA,Queensland,Swimming / jumping off a jetty,F,13,Lower leg & foot injured,N,18h00,"""a small shark""",
2007.04.22,22-Apr-07,2007,Unprovoked,USA,Florida,Body boarding,M,12,Left foot bitten,N,12h30,blacktip or spinner shark,
2007.04.20,20-Apr-07,2007,Unprovoked,USA,Florida,Surfing,M,24,Lacerations to left index finger & thumb ,N,17h00,3' to 4' shark,
2007.04.13.R,Reported      13-Apr-2007,2007,Boat,USA,Florida,Fishing,,,"No injury to occupants, shark holed the transom-mounted livewell ",N,,"Bull shark, 10' ",
2007.04.09,9-Apr-07,2007,Unprovoked,NEW CALEDONIA,South Province,Surfing,M,26,Left foot bitten,N,16h00,Tiger shark,
2007.04.01,1-Apr-07,2007,Unprovoked,USA,Florida,Playing on a sandbar,M,7,Lacerations & puncture wounds to right calf,N,13h05,,
2007.03.31.b,31-Mar-07,2007,Unprovoked,USA,Florida,Surfing,M,27,Lacerations to right ankle ,N,14h20,3' shark,
2007.03.31.a,31-Mar-07,2007,Unprovoked,USA,Florida,,M,9,Minor cuts to right buttock & thigh,N,13h20,,
2007.03.22,22-Mar-07,2007,Unprovoked,YEMEN,Muhafazat Hadramawt,Murder,,,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,Morning,,
2007.03.21,21-Mar-07,2007,Unprovoked,USA,Florida,Surfing,M,11,Punctures & lacerations to right calf & calf,N,Evening,4' to 5' shark,
2007.03.20,20-Mar-07,2007,Unprovoked,AUSTRALIA,New South Wales,Surfing,F,42,Lacerations to 3 fingers of left hand ,N,10h00,1.5 m shark,
2007.03.14.R,Reported 14-Mar-2007,2007,Provoked,USA,Florida,Shark fishing,M,,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,5' shark,
2007.03.12,12-Mar-07,2007,Unprovoked,AUSTRALIA,Queensland,Swimming,F,59,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",N,15h30,2 to 2.5 m shark,
2007.03.11,11-Mar-07,2007,Unprovoked,USA,Florida,Surfing,M,29,Lacerations to right forearm & hand,N,13h00,,
2007.03.05.R,Reported 05-Mar-2007,2007,Provoked,NEW ZEALAND,Cook islans,Spearfishing,M,16,Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT,N,,Tiger shark,
2007.02.04,4-Feb-07,2007,Invalid,COSTA RICA,,Swimming,M,36,Death due to drowning. Shark bite may have been postmortem,,,Shark involvement prior to death was not confirmed,
2007.02.03,3-Feb-07,2007,Unprovoked,AUSTRALIA,New South Wales,Boogie Boarding,M,26,Lacerations to  lower left leg & ankle ,N,08h00,,
2007.02.00,7-Feb,2007,Unprovoked,NEW CALEDONIA,Loyalty Islands,Spearfishing,M,,Survived,N,,,
2007.01.25.b,25-Jan-07,2007,Unprovoked,NEW CALEDONIA,North Province,Spearfishing (free diving),M,30,Leg bitten,N,14h00,Tiger shark,
2007.01.25.a,25-Jan-07,2007,Boat,USA,Florida,Shrimping,,,"A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later",N,03h30,14' shark,
2007.01.23,23-Jan-07,2007,Unprovoked,AUSTRALIA,New South Wales,Diving,M,41,Head & torso bitten,N,10h30,"White shark, 3m",
2007.01.19,19-Jan-07,2007,Invalid,AUSTRALIA,New South Wales,Swimming,M,20,Shark involvement prior to death unconfirmed,,,Shark involvement prior to death was not confirmed,
2007.01.14,14-Jan-07,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming / Body Surfing,M,24,"Presumed FATAL, body not recovered",Y,Afternoon,Tiger shark,
2007.01.09,9-Jan-07,2007,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,,"No injury, shark damaged surfboard",N,06h30,2.4 m shark,
2007.01.07,7-Jan-07,2007,Invalid,USA,New York,Surfing,M,54,No injury,,14h00,"24"" to 30"" shark",
2007.01.05,1-Jan-07,2007,Unprovoked,USA,Hawaii,Surfing,M,24,"No injury, shark removed piece of surfboard",N,10h15,"6' to 8' shark, possibly a tiger shark",
2006.12.18,18-Dec-06,2006,Unprovoked,AUSTRALIA,Victoria,Surfing,M,25,Left leg bitten,N,20h00,2.5 to 3 m shark,
2006.12.11,11-Dec-06,2006,Unprovoked,NEW ZEALAND,North Island,Surfing,M,10,Foot bitten,N,11h00,2 to 3 m shark,
2006.12.10,10-Dec-06,2006,Unprovoked,USA,California,Surfing,M,43,"Minor injuries, surfboard bitten",N,11h50,"White shark, 12' to 15' ",
2006.12.06,6-Dec-06,2006,Provoked,SOUTH AFRICA,KwaZulu-Natal,Fishing,M,25,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",N,"""Evening""","Raggedtooth shark, 150-kg",
2006.12.02,2-Dec-06,2006,Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,15,"Right leg severed, left leg lacerated",N,07h30,"White shark, 5m ",
2006.11.25,25-Nov-06,2006,Sea Disaster,PHILIPPINES,Surigao del Norte,Sea Disaster,,,15 perished but shark involvement prior to death was not confirmed,Y,14h20,,
2006.11.11,11-Nov-06,2006,Unprovoked,USA,Hawaii,Swimming,M,29,Laceration to left thigh & left hand,N,12h30,2 m to 3 m shark,
2006.11.09,9-Nov-06,2006,Provoked,SOUTH AFRICA,Eastern Cape Province,Canoeing,M,,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,N,Afternoon,"Bull shark, 1.5m ",
2006.10.31,31-Oct-06,2006,Unprovoked,USA,Oregon,Surfing,M,22,"No injury, surfboard bitten",N,Just before sundown,"White shark, 16' ",
2006.10.16,16-Oct-06,2006,Unprovoked,USA,Florida,Fishing,M,15,Lower right leg and foot bitten,N,,,
2006.10.10,10-Oct-06,2006,Unprovoked,USA,Florida,Surfing,M,20,Left ankle bitten,N,11h30,,
2006.10.07,7-Oct-06,2006,Unprovoked,USA,Texas,Surfing,M,,Lacerations to lower left leg,N,,1' to 4' shark,
2006.10.05,5-Oct-06,2006,Unprovoked,USA,Florida,Playing soccer in the water,M,18,Lacerations to foot,N,12h00,3' to 3.5' shark,
2006.10.00.b,6-Oct,2006,Unprovoked,BAHAMAS,New Providence Island,Free diving / modeling,F,26,Puncture wounds to left foot,N,,,
2006.10.00.a,6-Oct,2006,Unprovoked,GULF OF ADEN,Between Somalia & Yemen,Murder,,,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,,,
2006.09.30,30-Sep-06,2006,Invalid,SOUTH AFRICA,Western Cape Province,Spearfishing,M,36,No injury; 4m white shark made a threat display,,,Invalid,
2006.09.29,29-Sep-06,2006,Unprovoked,USA,Florida,Surfing,M,19,Big toe bitten,N,,,
2006.09.18.R,Reported 18-Sep-2006,2006,Provoked,USA,Florida,Diving / Kissing the shark,M,,Lacerations to upper lip    PROVOKED INCIDENT,N,,Nurse shark,
2006.09.16,16-Sep-06,2006,Unprovoked,USA,North Carolina,Surfing,M,16,Laceration to left thigh,N,Morning,,
2006.09.14,14-Sep-06,2006,Unprovoked,USA,Florida,Swimming,M,55,Minor injury to left hand,N,14h00,Spinner shark,
2006.09.11,11-Sep-06,2006,Unprovoked,USA,Florida,Surfing,M,52,Left torso grazed,N,,5' shark,
2006.09.04,4-Sep-06,2006,Invalid,AUSTRALIA,Queensland,Diving,M,44,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",,11h00,No shark involvement,
2006.09.03.b,3-Sep-06,2006,Unprovoked,BRAZIL,,,M,20,FATAL,Y,13h00,,
2006.09.03.a,3-Sep-06,2006,Unprovoked,USA,Florida,Standing,M,33,Puncture wounds and cuts to right thigh,N,17h30,3' shark,
2006.09.02,2-Sep-06,2006,Unprovoked,USA,Florida,Swimming,M,12 or 13,Arm bitten,N,17h55,,
2006.09.02,2-Sep-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,37,"No injury, shark rammed surfboard",N,,"White shark, 3.5m ",
2006.08.29.b,29-Aug-06,2006,Unprovoked,USA,Oregon,Surfing,M,23,Laceration & puncture wounds to foot,N,Sunset,,
2006.08.29.a,29-Aug-06,2006,Unprovoked,AUSTRALIA,South Australia,Surfing,M,,"No injury, shark towed  surfer & board",N,16h00,"Bronze whaler shark, 6'",
2006.08.27,27-Aug-06,2006,Unprovoked,REUNION,Saint-Gilles-les-Bains,Body boarding,M,27,Laceration to right calf & heel,N,18h00,,
2006.08.22.b,22-Aug-06,2006,Invalid,BRAZIL,Pernambuco,,M,17,Shark bites may have been post mortem,,,Shark involvement prior to death was not confirmed,
2006.08.22.a,22-Aug-06,2006,Invalid,BELIZE,Ambergris Caye,Spearfishing,M,34,Shark involvement prior to death not confirmed,,,Shark involvement prior to death was not confirmed,
2006.08.20.b,20-Aug-06,2006,Sea Disaster,ITALY,,Sea Disaster,M,,FATAL,Y,,,
2006.08.20.a,20-Aug-06,2006,Unprovoked,REUNION,Saint-Pierre,Surfing,M,34,FATAL,Y,11h00,,
2006.08.15,15-Aug-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,,"No injury, surfboard leash severed",N,,5 m shark,
2006.08.13,13-Aug-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Lifesaving drill,M,24,Foot severed,N,11h00,White shark,
2006.08.00.b,6-Aug,2006,Unprovoked,USA,North Carolina,Wading,F,59,Lacerations & punctures to left foot,N,12h00,,
2006.08.00.a,Early Aug-2006,2006,Unprovoked,REUNION,,Spearfishing,M,,Thigh bitten,N,,"Bull shark, 1.5m ",
2006.07.31.R,31-Jul-06,2006,Provoked,USA,Kentucky,Touching sharks,,,"Minor injuries, similar to paper cuts from the captive sharks  PROVOKED INCIDENTS",N,,small catsharks,
2006.07.31.a,31-Jul-06,2006,Unprovoked,USA,Oregon,Surfing,M,41,Minor injury,N,16h00,White shark?,
2006.07.29.b,29-Jul-06,2006,Invalid,USA,California,Boogie Boarding,M,,"Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 ",N,Afternoon,"Thought to involve a mako shark, but possibly a sea lion",
2006.07.29.a,29-Jul-06,2006,Unprovoked,USA,Florida,Surfing,M,15,Foot bitten,N,,,
2006.07.28,28-Jul-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf-skiing,M,19,"No injury, surf ski bitten",N,16h30,"White shark, 3m to 4m",
2006.07.25,25-Jul-06,2006,Unprovoked,USA,Florida,Surfing,M,14,Minor lacerations to right foot,N,13h45, ,
2006.07.23,23-Jul-06,2006,Unprovoked,USA,Texas,Surf fishing,M,,Right foot bitten,N,,"Bull shark, 4' to 5' ",
2006.07.17.R,Reported 17-Jul-2006,2006,Invalid,AUSTRALIA,Torres Strait,,,,8 shark-bitten bodies washed ashore,,,Shark involvement prior to death was not confirmed,
2006.07.17,17-Jul-06,2006,Unprovoked,USA,South Carolina,Standing,M,49,Left ankle & foot bitten,N,10h00,"Angel shark, 1.2m ",
2006.07.13,13-Jul-06,2006,Invalid,SPAIN,Alicante,Swimming,F,7,Hand & wrist severely bitten,,,"Shark involvement not confirmed, injury may have been caused by a bluefish",
2006.07.12,12-Jul-06,2006,Unprovoked,USA,South Carolina,Swimming,F,21,Ankle & foot bitten,N,13h30,,
2006.07.10,10-Jul-06,2006,Unprovoked,BRAZIL,Pernambuco,,M,,FATAL,Y,,Bull or tiger shark,
2006.07.09.b,9-Jul-06,2006,Unprovoked,USA,Florida,Wading,M,40,Dorsum of left foot bitten,N,17h00,,
2006.07.09.a,09-Jul-2006.,2006,Unprovoked,USA,Florida,Walking,M,11,Lower leg & ankle bitten,N,13h00,,
2006.07.08.b,8-Jul-06,2006,Unprovoked,USA,South Carolina,Body boarding,F,14,Foot bitten,N,11h00,5' to 6' spinner or bull shark,
2006.07.08.a,8-Jul-06,2006,Unprovoked,USA,Florida,Swimming,M,13,Right calf bitten,N,13h00,,
2006.06.30.b,6-Jul,2006,Unprovoked,USA,Florida,Spearfishing,F,28,Lacerations & puncture wound  to arm,N,,"1.8 m blacktip ""reef"" shark",
2006.06.30.a,6-Jul,2006,Unprovoked,USA,Florida,Spearfishing,M,35,Minor injuries,N,,"1.8 m blacktip ""reef"" shark",
2006.06.27,27-Jun-06,2006,Unprovoked,USA,Florida,Body boarding,F,9,Right calf bitten,N,11h10,,
2006.06.26,26-Jun-06,2006,Provoked,USA,Florida,Fishing,M,,Non-swimmer pulled off pier& into the water by a hooked shark PROVOKED INCIDENT,N,Afternoon,,
2006.06.24,24-Jun-06,2006,Unprovoked,BAHAMAS,Andros Islands,Spearfishing,M,25,Right arm severely bitten,N,13h00,,
2006.06.20,20-Jun-06,2006,Unprovoked,USA,Florida,Surfing,F,22,2-inch puncture wounds on right foot,N,13h00,Possibly a 1' to 3' blacktip or spinner shark,
2006.06.18,18-Jun-06,2006,Unprovoked,BRAZIL,Pernambuco,Body boarding,M,27,Left thigh bitten FATAL,Y,09h00,,
2006.06.17,17-Jun-06,2006,Unprovoked,USA,California,Scuba diving,M,43,"No injury, shark bit scuba tank boot",N,11h10,,
2006.06.15,15-Jun-06,2006,Unprovoked,USA,Florida,Surfing,M,24,Four 1-inch puncture wounds on left foot ,N,15h30,2' to 3' shark,
2006.06.07,7-Jun-06,2006,Unprovoked,USA,South Carolina,Playing,F,7,Lacerations & puncture wounds to left foot & buttocks,N,13h45,3' to 4' shark,
2006.06.05,5-Jun-06,2006,Unprovoked,AUSTRALIA,South Australia,Surfing,M,40,"No injury, knocked off surfboard",N,11h30,14' white shark,
2006.05.31,31-May-06,2006,Unprovoked,USA,Hawaii,Spearfishing,M,26,"4"" laceration to left forearm",N,13h30,"Tiger shark, 8' to 12'",
2006.05.28,28-May-06,2006,Provoked,USA,Hawaii,Tagging sharks,,,"No injury to occupants, boat damaged by hooked shark PROVOKED INCIDENT",N,Afternoon,"Tiger shark, 15' female",
2006.05.27,27-May-06,2006,Unprovoked,USA,Hawaii,Surfing,M,31,"No injury, shark bumped surfboard",N,16h00,,
2006.05.24,24-May-06,2006,Provoked,USA,Hawaii,Spearfishing,M,15,Knee bitten after diver poked shark PROVOKED INCIDENT,N,16h30,"Grey reef shark, 5' to 8' ",
2006.05.21,21-May-06,2006,Unprovoked,BRAZIL,Pernambuco,Surfing,M,33,"Injuries to left thigh, calf & foot",N,11h30,,
2006.05.19,19-May-06,2006,Unprovoked,USA,Guam,Scuba diving,F,30s,Laceration to leg,N,15h30,"Tiger shark, 10' to 12'",
2006.05.10,5-May-06,2006,Unprovoked,USA,Florida,,M,,Small lacerations to arm,N,12h15,,
2006.05.04,4-May-06,2006,Unprovoked,USA,Florida,Swimming,F,20s,2 lacerations on lower right leg,N,16h30,,
2006.05.02,2-May-06,2006,Provoked,AUSTRALIA,Queensland,Snorkeling,M,46,Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,N,16h30,"Wobbegong shark, 2 m ",
2006.04.23.R,Reported      23-Apr-2006,2006,Invalid,USA,Florida,,M,,Shark bites post mortem,,,Invalid,
2006.04.21,21-Apr-06,2006,Unprovoked,USA,Florida,Surfing,M,54,Feet bitten,N,,,
2006.04.19,19-Apr-06,2006,Unprovoked,USA,Florida,Standing,F,13,3 tiny punctures & small lacerations on right ankle,N,15h00,,
2006.04.13,13-Apr-06,2006,Provoked,USA,Florida,Fishing,M,35,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,N,Afternoon,"Bull shark, 4' to bull shark",
2006.04.11,11-Apr-06,2006,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,15,Minor laceration to left foot,N,13h30,"Bronze whaler shark, a  juvenile ",
2006.04.09.b,9-Apr-06,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Body boarding,M,15,Leg bitten,N,17h30,"Raggedtooth shark, 2.5 m to 3 m ",
2006.04.09.a,9-Apr-06,2006,Unprovoked,BRAZIL,Pernambuco,Swimming,M,35,Left leg bitten,N,Afternoon,Tiger shark,
2006.04.03,3-Apr-06,2006,Unprovoked,USA,Florida,Wading,M,11,Minor injury to right hand & thigh,N,12h30,,
2006.03.28.R,Reported  28-Mar-2006,2006,Unprovoked,Sierra Leone,Western Area,Fishing,M,,Reportedly FATAL but few details,Y,,"3 m, 600-kg shark",
2006.03.23,23-Mar-06,2006,Unprovoked,USA,Hawaii,Surfing,F,28,5 puncture wounds in left calf,N,11h30,"Tiger shark, 10'  ",
2006.03.22,22-Mar-06,2006,Invalid,SOUTH AFRICA,Eastern Cape Province,Swimming,M,17,"FATAL, but shark involvement prior to death unconfirmed",,,Shark involvement prior to death was not confirmed,
2006.03.19,18-Mar-06,2006,Unprovoked,FIJI,Vitu Levu,Surfing,M,21,Lacerations to right hand,N,18h00,"Tiger shark, 5' ",
2006.03.15,15-Mar-06,2006,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,15,"No injury, shark nudged surfboard",N,17h00,"Bronze whaler shark, 2 m",
2006.02.27,27-Feb-06,2006,Unprovoked,USA,Hawaii,Standing,F,15,Deep laceration to right calf,N,16h30,5' to 7' shark,
2006.02.23,23-Feb-06,2006,Invalid,USA,Hawaii,Free diving,M,45,Forensic examination suggested diver drowned & afterwards his body was bitten by a shark/s,,Late afternoon,Invalid,
2006.02.13,13-Feb-06,2006,Unprovoked,AUSTRALIA,Queensland,Wading,M,18,Lacerations to foot,N,11h00,,
2006.02.12.b,12-Feb-06,2006,Unprovoked,AUSTRALIA,Queensland,Swimming,M,,Puncture wound on arm,N,,,
2006.02.12.a,12-Feb-06,2006,Boating,AUSTRALIA,South Australia,Fishing,M,,No injury to occupants; shark nudged the 5.3 m boat,N,12h00,4.5 m white shark,
2006.02.08,8-Feb-06,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,15,2 bite marks on right calf,N,Late afternoon,Raggedtooth shark,
2006.02.01.b,1-Feb-06,2006,Unprovoked,TONGA,Vava'u,Swimming,F,24,Severe bite to right leg FATAL,Y,18h00,Tiger shark,
2006.02.01.a,1-Feb-06,2006,Boating,USA,Hawaii,Kayaking,M,57,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,N,Afternoon,12' to 18' shark,
2006.01.28.R,Reported 28-Jan-2006,2006,Boating,ATLANTIC OCEAN,300 miles from Antigua,Competing in the Woodvale Atlantic Rowing Race,M,46 & 34,No injury to occupants; shark rammed boat repeatedly,N,,12' shark,
2006.01.25,25-Jan-06,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Spearfishing,M,34,Right arm  bitten,N,14h00,,
2006.01.23,23-Jan-06,2006,Boating,ATLANTIC OCEAN,800 miles from land,Competing in the Woodvale Atlantic Rowing Race,F,"28, 23 & 30","No injury to occupants; a shark, accidentally caught in a line, threatened to rip out the transom",N,,,
2006.01.18,18-Jan-06,2006,Unprovoked,USA,California,Night Surfing,M,,"No injury, but 2 small nicks on wetsuit",N,22h30,,
2006.01.15,15-Jan-06,2006,Unprovoked,AUSTRALIA,Western Australia,Scuba diving,M,52,Lacerations to left elbow,N,11h00,3.5 m white shark,
2006.01.11,11-Jan-06,2006,Invalid,BAHAMAS,Grand Bahama Island,Diving for lobsters,M,,"No injury, divers felt threatened by 10' pregnant female tiger shark & killed the shark",,Morning,Invalid,
2006.01.07,7-Jan-06,2006,Unprovoked,AUSTRALIA,Queensland,Swimming,F,21,FATAL,Y,17h15,Bull shark,
2006.01.04,4-Jan-06,2006,Unprovoked,USA,Florida,Surfing,M,21,3 puncture wounds in right wrist & hand,N,16h45,4' shark,
2006.01.01,1-Jan-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Diving for crayfish,M,49,Lacerations to little finger,N,,Said to involve a 1.5 m shark,
2005.12.24,24-Dec-05,2005,Unprovoked,USA,Oregon,Surfing,M,30,Lacerations to ankle & calf,N,12h00,White shark,
2005.12.21,21-Dec-05,2005,Unprovoked,USA,Hawaii,Swimming,M,29,Left hand bitten,N,11h45,Tiger shark,
2005.12.20,20-Dec-05,2005,Boating,ATLANTIC OCEAN,600 nm west of the Canary Islands,Competing in the Woodvale Atlantic Rowing Race,,,"No injury to occupants, shark rammed boat for 15 minutes",N,13h30,3 m shark,
2005.12.11,11-Dec-05,2005,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,44,Right forearm & elbow bitten,N,11h00,Whitetip reef shark,
2005.12.05.R,Reported 06-Dec-2005,2005,Boat,AUSTRALIA,South Australia,Fishing,,,"No injury to occupants, hydrofoil of outboard motor bitten ",N,15h30,4 m white shark,
2005.11.29.R,Reported 29-Nov-2005,2005,Unprovoked,USA,Florida,Surfing,M,teen,Left foot bitten,N,,,
2005.11.27,27-Nov-05,2005,Unprovoked,USA,Florida,Surfing,M,23,Right thumb & palm lacerated,N,13h00,4' shark,
2005.11.25.c,25-Nov-05,2005,Boat,AUSTRALIA,Victoria,Fishing,,,"No injury to occupant, shark bit outboard motor",N,,3 m white shark,
2005.11.25.b,25-Nov-05,2005,Unprovoked,AUSTRALIA,Victoria,Surfing,M,18,"2 lacerations on leg, each 4"" to 5"" long",N,18h00,1.8 m shark,
2005.11.25.a,25-Nov-05,2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,26,"Cut on finger, board bitten",N,11h30,,
2005.11.24,24-Nov-2005-,2005,Unprovoked,NEW CALEDONIA,Loyalty Islands,Spearfishing,,,Arm bitten,N,20h30,,
2005.11.21,21-Nov-05,2005,Unprovoked,USA,Florida,Surfing,M,30s,Left foot bitten,N,Afternoon,4' shark,
2005.11.20,20-Nov-05,2005,Unprovoked,USA,Florida,Surfing,M,17,Lacerations to right thigh,N,14h30,,
2005.11.16.R,Reported  16-Nov-2005,2005,Boat,NEW CALEDONIA,,,,,"No injury to occupants, shark lifted bow of boat 3 times",N,,4.5 m white shark,
2005.11.15,15-Nov-05,2005,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing for sharks,M,32,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,N,14h00,"Raggedtooth shark, 2.5m ",
2005.11.12,12-Nov-05,2005,Unprovoked,USA,Florida,Surfing,M,18,Puncture wounds to right foot,N,13h00,6' shark,
2005.11.02.b,2-Nov-05,2005,Unprovoked,USA,California,Surfing,M,25,"No injury, board bitten",N,16h45,,
2005.11.02.a,2-Nov-05,2005,Unprovoked,USA,California,Surfing,M,26,"No injury, board bumped",N,07h15,12' to 14' white shark,
2005.10.29,29-Oct-05,2005,Unprovoked,USA,Florida,Wading,M,15,Puncture wounds to foot,N,,2' to 3' shark,
2005.10.25,25-Oct-05,2005,Unprovoked,ST. MAARTIN,Simpson Bay,Standing,M,55,Lower right leg lacerated,N,08h00,2' shark,
2005.10.22,22-Oct-05,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Standing / Surfing,M,20,Right foot bitten,N,Morning,3 m shark,
2005.10.21,21-Oct-05,2005,Unprovoked,USA,California,Surfing,M,36,No injury,N,11h00,White shark,
2005.10.19,19-Oct-05,2005,Unprovoked,USA,California,Surfing,F,20,Leg bitten,N,10h30,18' white shark,
2005.10.15,15-Oct-05,2005,Provoked,USA,Florida,Wading,M,15,Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,N,17h55,,
2005.10.13,13-Oct-05,2005,Unprovoked,USA,Hawaii,Surfing,M,22,"No injury, surfboard bitten",N,18h00,"Tiger shark, less than 10'",
2005.10.11,11-Oct-05,2005,Unprovoked,GRAND CAYMAN,East Wall,Scuba diving,F,57,No injury ,N,15h00,Caribbean reef sharks,
2005.10.06,6-Oct-05,2005,Unprovoked,USA,Florida,Treading water/ Surfing,M,48,Five 1-inch lacerations to left foot,N,16h05,,
2005.10.03,3-Oct-05,2005,Unprovoked,BAHAMAS,Abaco Islands,Diving,M,35,Lacerations to right side of face,N,,,
2005.10.01,1-Oct-05,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf-skiing,M,52,"No injury, shark bit ski",N,15h00,White shark,
2005.09.27.R,Reported      27-Sep-2005,2005,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,28,"No injury, knocked off board",N,,"Tiger shark, 3 m ",
2005.09.24,24-Sep-05,2005,Unprovoked,AUSTRALIA,South Australia,Surfing,M,26,Lacerations to legs,N,12h05,14' to 16' white shark,
2005.09.23,23-Sep-05,2005,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,44, No injury,N,Morning,Bronze whaler shark,
2005.09.22,22-Sep-05,2005,Invalid,USA,Florida,Surfing,M,,Lacerations to dorsum of left foot,,07h30,Shark involvement not confirmed,
2005.09.20,20-Sep-05,2005,Unprovoked,USA,South Carolina,Body surfing,F,68,"Injuries to fingers, calf  & heel",N,16h30,3' to 4' shark,
2005.09.11,11-Sep-05,2005,Unprovoked,USA,South Carolina,Surfing,M,18,FATAL,Y,14h00,,
2005.09.07,7-Sep-05,2005,Unprovoked,AUSTRALIA,New South Wales,Standing,M,15,Left foot & ankle lacerated,N,Dusk,,
2005.09.05,5-Sep-05,2005,Unprovoked,USA,North Carolina,Wading,F,18,Calf severely lacerated,N,15h20,Bull shark,
2005.09.04.a,4-Sep-05,2005,Unprovoked,AUSTRALIA,South Australia,Surfing,M,40,Lacerations to right arm & thigh,N,15h00,4 m [13'] white shark,
2005.09.02.b,2-Sep-05,2005,Unprovoked,USA,Florida,Standing / Surfing,M,62,Right foot bitten,N,11h10,,
2005.09.02.a,2-Sep-05,2005,Provoked,THAILAND,,Removing shark from net,M,21,FATAL PROVOKED INCIDENT,Y,,"2 m [6.75'] shark, 200-kg shark T",
2005.08.24.b,24-Aug-05,2005,Unprovoked,AUSTRALIA,South Australia,Scuba diving,M,23,FATAL,Y,16h10,White shark,
2005.08.24.a,24-Aug-05,2005,Unprovoked,USA,California,Surfing,M,37,Lower right leg lacerated,N,11h00,juvenile white shark,
2005.08.22,22-Aug-05,2005,Invalid,USA,South Carolina,"Boogie boarding, kicked at object in the water",M,17,"Laceration to knee, possibly by a  small blacktip shark",,Afternoon,Shark involvement not confirmed,
2005.08.21,21-Aug-05,2005,Unprovoked,USA,South Carolina,Swimming,M,8,Bitten underneath left arm,N,Morning,Possibly a sandbar shark or small blacktip shark,
2005.08.19,19-Aug-05,2005,Unprovoked,USA,Texas,Walking,M,12,Left foot bitten,N,20h00,,
